epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
141,5682.67,0.85141,0.67518,1.22498,0.93125,0.92947,0.93453,0.66784,1.12681,0.46931,1.55564,0.00307,0.00307,0.00307
142,5723.55,0.84996,0.67012,1.21979,0.93117,0.92944,0.93429,0.66732,1.12675,0.46997,1.55664,0.0030205,0.0030205,0.0030205
143,5764.54,0.84466,0.67382,1.21703,0.93102,0.92944,0.93424,0.66763,1.12727,0.46913,1.55738,0.002971,0.002971,0.002971
144,5804.66,0.83905,0.66176,1.21629,0.93085,0.92942,0.93426,0.66773,1.12751,0.46882,1.55853,0.0029215,0.0029215,0.0029215
145,5845.37,0.83781,0.67056,1.21282,0.93082,0.9294,0.93427,0.66792,1.1279,0.46839,1.55958,0.002872,0.002872,0.002872
146,5882.32,0.84154,0.66436,1.21462,0.93056,0.92942,0.93415,0.66802,1.12853,0.46917,1.56105,0.0028225,0.0028225,0.0028225
147,5926.82,0.84142,0.67707,1.21676,0.93042,0.92943,0.93441,0.66738,1.12845,0.4695,1.56213,0.002773,0.002773,0.002773
148,5969.52,0.83124,0.6598,1.20905,0.9304,0.92944,0.93449,0.66836,1.12861,0.46932,1.563,0.0027235,0.0027235,0.0027235
149,6012.52,0.83425,0.66267,1.21073,0.93066,0.92937,0.93469,0.66753,1.12882,0.46912,1.56421,0.002674,0.002674,0.002674
150,6056.86,0.82646,0.66285,1.20159,0.93064,0.92934,0.93483,0.66767,1.12891,0.46975,1.56529,0.0026245,0.0026245,0.0026245
151,6097.97,0.82847,0.65327,1.20574,0.93097,0.92968,0.9349,0.66814,1.1291,0.46967,1.56633,0.002575,0.002575,0.002575
152,6138.77,0.82293,0.65575,1.1989,0.93092,0.92969,0.93488,0.6681,1.1295,0.46998,1.56773,0.0025255,0.0025255,0.0025255
153,6180.64,0.81456,0.64845,1.19966,0.93086,0.92983,0.93474,0.66809,1.12977,0.47099,1.56906,0.002476,0.002476,0.002476
154,6222.37,0.81556,0.64393,1.19911,0.93078,0.92986,0.93487,0.6683,1.12962,0.47067,1.57006,0.0024265,0.0024265,0.0024265
155,6268.33,0.81461,0.65142,1.20392,0.93191,0.93089,0.93607,0.66814,1.1294,0.47135,1.57049,0.002377,0.002377,0.002377
156,6310.23,0.81338,0.64397,1.19985,0.93191,0.9309,0.93615,0.66805,1.12967,0.47123,1.57113,0.0023275,0.0023275,0.0023275
157,6353.95,0.806,0.63856,1.19561,0.9308,0.92997,0.93504,0.66852,1.13001,0.47094,1.57248,0.002278,0.002278,0.002278
158,6398.31,0.8084,0.6385,1.19092,0.9305,0.93019,0.93533,0.66866,1.13004,0.47095,1.57338,0.0022285,0.0022285,0.0022285
